country,region,status_2026q2,population,tesla_presence,key_blocker
Japan,Asia-Pacific,pipeline_2026,123000000,strong,Localization + regulatory approval targeted for 2026
United Arab Emirates,Middle East,road_testing,9900000,growing,Localized data collection underway
United Kingdom,Europe,expected,69000000,strong,Awaiting regulator decision; expected to follow EU wave
Germany,Europe,pipeline,84000000,strong,EU type-approval / national rollout pending
France,Europe,pipeline,66000000,strong,EU type-approval / national rollout pending
Spain,Europe,pipeline,48000000,moderate,EU type-approval / national rollout pending
Italy,Europe,pipeline,59000000,moderate,EU type-approval / national rollout pending
India,Asia-Pacific,not_announced,1450000000,entering,Road heterogeneity; no regulatory framework for L2+ hands-on supervision marketing
Brazil,South America,not_announced,216000000,limited,No announced framework
Norway,Europe,pipeline,5600000,very strong,High EV penetration; awaiting approval
